fdid,path,status,error,detail,chunked,skel,n_vertices,n_bones,n_sequences,n_skins,n_lod_skins,n_particles,checks_failed
122968,creature/arthaslichking/arthaslichking.m2,ok,,,1,0,7748,122,45,3,0,4,
122971,creature/arthasundead/arthasundead.m2,ok,,,1,0,4689,139,391,2,0,0,
122975,creature/babybeholder/babybeholder.m2,ok,,,1,0,1715,73,20,1,3,4,
122977,creature/babycrocodile/babycrocodile.m2,ok,,,1,0,650,81,37,2,0,0,
122982,creature/babyelekk/babyelekk.m2,ok,,,1,0,648,73,26,1,0,0,
122988,creature/babyhawkstrider/babyhawkstrider.m2,ok,,,1,0,810,53,10,1,0,0,
122994,creature/band/band_drumset.m2,ok,,,1,0,2420,1,7,1,0,0,
122997,creature/band/bandbloodelfmale.m2,ok,,,1,0,2960,135,6,3,0,2,
122999,creature/band/bandorcmale.m2,ok,,,1,0,2411,118,8,2,0,2,
123001,creature/band/bandtaurenmale.m2,ok,,,1,0,5713,160,6,4,0,2,
123004,creature/band/bandtrollmale.m2,ok,,,1,0,2310,127,5,2,0,14,
123005,creature/band/bandundeadmale.m2,ok,,,1,0,3620,133,6,3,0,0,
123014,creature/banshee/banshee.m2,ok,,,1,0,1141,158,18,4,0,5,
123020,creature/basilisk/basilisk.m2,ok,,,1,0,605,91,22,2,0,2,
123035,creature/basiliskoutland/basilisk_outland.m2,ok,,,1,0,955,90,22,2,0,2,
123040,creature/bear/bear.m2,ok,,,1,0,466,58,61,2,0,0,
123051,creature/bear/polarbearcub.m2,ok,,,1,0,390,51,45,1,0,0,
123053,creature/bearcub/bearcub.m2,ok,,,1,0,486,66,73,2,0,0,
123055,creature/beargod/beargod.m2,ok,,,1,0,4111,71,28,1,3,2,
123058,creature/bearmount/bearmount.m2,ok,,,1,0,3803,87,74,2,0,0,
123067,creature/bearmountalt/bearmountalt.m2,ok,,,1,0,804,62,71,2,0,0,
123071,creature/beholder/beholder.m2,ok,,,1,0,2718,93,19,1,3,4,
123079,creature/bloodelffemalekid/bloodelffemalekid.m2,ok,,,1,0,715,60,32,2,0,0,
123081,creature/bloodelfguard/bloodelfmale_guard.m2,ok,,,1,0,1443,124,133,2,0,0,
123088,creature/bloodelfmalekid/bloodelfmalekid.m2,ok,,,1,0,934,63,31,2,0,0,
123090,creature/boar/boar.m2,ok,,,1,0,401,61,17,2,0,0,
123100,creature/boar/boartruesilver.m2,ok,,,1,0,530,57,13,2,0,0,
123101,creature/bodyofkathune/bodyofkathune.m2,ok,,,1,0,5218,98,5,4,0,0,
123105,creature/bogbeast/bogbeast.m2,ok,,,1,0,989,79,13,2,0,0,
123120,creature/bonegolem/bonegolem.m2,ok,,,1,0,1516,63,23,2,0,0,
123124,creature/boneworm/boneworm.m2,ok,,,1,0,2725,84,22,2,0,10,
123129,creature/broom/be_broom01.m2,ok,,,1,0,226,39,12,1,0,3,
123130,creature/broommount/broommount.m2,ok,,,1,0,1725,26,42,1,3,4,
123133,creature/brutallus/brutallus.m2,ok,,,1,0,3439,107,34,2,0,20,
123137,creature/carrionbird/carrionbird.m2,ok,,,1,0,609,67,22,2,0,0,
123148,creature/carrionbirdoutland/carrionbirdoutland.m2,ok,,,1,0,997,73,17,2,0,0,
123162,creature/cat/cat.m2,ok,,,1,0,363,57,29,2,0,0,
123170,creature/centaur/centaur.m2,ok,,,1,0,837,101,23,3,0,0,
123171,creature/centaur/centaurcaster.m2,ok,,,1,0,852,91,21,3,0,0,
123182,creature/centaur/centaurkhan.m2,ok,,,1,0,997,90,17,3,0,0,
123194,creature/centaur/centaurwarrior.m2,ok,,,1,0,975,87,17,2,0,0,
123200,creature/chicken/chicken.m2,ok,,,1,0,121,38,13,1,0,0,
123205,creature/chimera/chimera.m2,ok,,,1,0,1089,88,16,3,0,0,
123214,creature/chimeraoutland/chimeraoutland.m2,ok,,,1,0,1462,71,9,2,0,0,
123225,creature/chinesedragon/chinesedragon.m2,ok,,,1,0,994,56,20,2,0,0,
123235,creature/clawofkathune/clawofkathune.m2,ok,,,1,0,226,19,6,1,0,0,
123240,creature/clefthoove/clefthoove.m2,ok,,,1,0,871,55,22,2,0,0,
123247,creature/clockworkgnome/clockworkgnome.m2,ok,,,1,0,997,106,143,2,0,4,
123248,creature/clockworkgnome/clockworkgnome_a.m2,ok,,,1,0,1068,106,143,2,0,4,
123249,creature/clockworkgnome/clockworkgnome_b.m2,ok,,,1,0,1042,108,143,2,0,4,
123250,creature/clockworkgnome/clockworkgnome_c.m2,ok,,,1,0,1086,106,143,2,0,4,
123251,creature/clockworkgnome/clockworkgnome_d.m2,ok,,,1,0,1092,106,143,2,0,4,
123265,creature/cloud/cloudswampgas.m2,ok,,,1,0,0,19,3,1,0,4,
123266,creature/cloud/cloudswampgas_shadowmoon_white.m2,ok,,,1,0,0,11,3,1,0,4,
123268,creature/cockatrice/cockatriceelite.m2,ok,,,1,0,1251,60,31,1,0,2,
123275,creature/cockatrice/cockatricemount.m2,ok,,,1,0,1093,59,40,1,0,2,
123284,creature/cockroach/cockroach.m2,ok,,,1,0,105,29,10,1,0,0,
123285,creature/cocoon/cocoon.m2,ok,,,1,0,606,55,3,2,0,0,
123288,creature/cow/cow.m2,ok,,,1,0,376,62,8,2,0,0,
123291,creature/crab/crab.m2,ok,,,1,0,438,59,26,2,0,0,
123299,creature/crackelf/crackelfmale.m2,ok,,,1,0,1456,133,141,3,0,1,
